Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
floaty3,15944.374832,15944.374832,90116.228835,90116.228835
floaty3,15944.374832,15944.374832,90116.228835,90116.228835
Totals,31888.749664,31888.749664,180232.457671,180232.457671

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
floaty3_Surf0,15944.374832,15944.374832
floaty3_Surf1,15944.374832,15944.374832
